text,prediction
"Friend the Member for Romsey and Southampton North (Caroline Nokes) is absolutely right that most people who are economic migrants come through two, three or four safe countries; maybe France is such a terrible place that the Government, tax rates and sunshine that we have in the United Kingdom and the English language are a great draw.",4
"The reality is that, as a responsible neighbour to some of the EU states, we have to take some of the refugees that the Italians, Greeks and Spanish get because of their proximity to north Africa and the middle east, and it would perhaps be better to do that in a planned and organised way than to allow illegal crossings of the channel.",3
My constituents will want to see the end of the rubber boats turning up in Sussex and Kent and perhaps a more streamlined and efficient system for dealing with these very important and complex problems.,3
"I rise to speak in broad support of the Bill, which offers a comprehensive reform of an asylum system that is broken and dysfunctional in part It is clear that a system is needed that is fair to those in genuine need but firmly against those who break the rules and the criminal gangs who seek to exploit some of the world’s most vulnerable and desperate people.",3
"Access to the UK’s asylum system should be based on need, not the ability to pay for people smugglers.",2
"All too often, it is they who gain, not the individuals who are being trafficked My constituents have been rightly enraged by the images of abandoned boats on the south coast and they have not been backwards in making their demands for change.",3
"Friend the Home Secretary’s determination to improve the UK’s position Imagine, for a moment, the lived experience of some of the people arriving on the UK’s shores by boat—a boat not fit for purpose and overpacked with families with a bursting need to leave their homes.",3
Such people sold most of what they owned to pay for a journey that is likely to be illegal from beginning to end and have paid what money they have gathered to criminals who care not a jot for their safety or whether they make their end destination.,3
This is rightly the cornerstone of our immigration policy.,2
"Continuing the resettlement of genuine refugees, family reunion and improving the reception processing system are welcome measures.",3
It is beyond time to reform our broken asylum system and replace it with one that is fair and offers a hand up for those in genuine need and targets those who seek to exploit some of the most vulnerable in the world.,2
"We welcome migrants, refugees and asylum seekers from around the world, and we will continue to do so: nothing in the Bill will change that People who enter the country legally will continue to be able to claim asylum here.",3
"We will continue to prioritise helping the most vulnerable: the elderly, children, and the poorest—those who are unable to travel hundreds of miles or to pay people smugglers, like the 25,000 people who have come here through our resettlement programme in the last six years.",3
"We have resettled more people through that programme than any other country in Europe People in genuine need deserve an asylum system that functions properly, supports them through the process, and makes a decision quickly.",3
"Nor do we want to continue with the system that is being exploited by people smugglers who callously treat human beings as if they were cargo, and sometimes not even as well as that.",2
"It will give Border Force additional powers to search, seize and divert vessels carrying people illegally, and it will provide an incentive for people to use safe and legal routes to claim asylum in the UK.",3
"This combination of measures will disrupt and undermine the business model of people smugglers It is important that we are able to keep all our citizens, our constituents, safe.",3
"There are currently 10,000 foreign national offenders outside prison in this country whom we need to deport.",2
"That is why I support the measures in the Bill that will end repeated, last-minute and vexatious legal challenges to deportation, expand the early removal scheme for removing foreign offenders from the UK as early as possible, and increase the sentence for breaching a deportation order from six months to five years This Bill will deliver an asylum system that continues to prioritise the most vulnerable, immediate indefinite leave to remain for refugees who are resettled through safe and legal routes, tougher sentences for people smugglers, and tougher sentences for foreign national offenders who try to come back to our country when they have no right to do so.",3
History is going to judge our Parliament and our Government harshly for introducing this piece of legislation at a time when there are unprecedented numbers of refugees around the world—the total figure globally is about 80 million.,3
"They are fleeing from war, poverty, injustice, human rights abuses and environmental disasters, and they are living in refugee camps in enormous numbers —in Bangladesh, where there are 1 million Rohingya people, and in Jordan, Lebanon and other countries across the middle east, including Libya.",3
"Those conditions are created by unfair trade and the arms that we sell, which bring about the wars that bring about the refugee flows.",2
"The number of refugees is likely to rise At a time when country after country is closing its borders to refugees, who are stuck for decades in refugee camps, our Government are joining the throng who stand against refugees, rather than for them.",3
"Instead of patting ourselves on the back for our historical good work in supporting refugees from some countries, we should recognise what is happening at the present time I took the opportunity to visit the refugee camp in Calais in 2015, for which the then Prime Minister, David Cameron, described me as preferring to spend a weekend hanging round with a “bunch of migrants”.",3
"The Bill will also create two tiers of asylum seekers: those who come through a moderately legitimate route by arriving in a port of entry and applying, and those who come out of desperation on leaking dinghies So what are we doing?",3
"Are we looking after the refugees or accusing them of wrongdoing for trying to get to a place of safety, and then condemning those who try to save them so that seafarers around the world who pluck refugees from the sea will be accused of illegally abetting migration to this country?",3
"Ten days ago, a Royal National Lifeboat Institution lifeboat took a group of people on a dinghy into a north Kent harbour to give them a place of safety.",3
"That would be contrary to the law of the sea, which requires it to save such lives I also ask the Government to look at the conditions in which refugees have to survive in this country, such as the disgusting conditions at Napier barracks, and at the number of refugees sleeping on our streets and begging to try to survive.",3
"Just think for a moment of what it is like to be a refugee trying to make a contribution to our world, and being criminalised in the process.",2
"We rely on refugees in hospitals, as doctors, as engineers, as teachers, as technicians and in so many other jobs in our society.",2
"The trend is continually up and the most recent figures show that 700,000 migrants arrived in the UK in the year ending March 2020.",3
"This is simply unsustainable For the past 50 years, the Conservative manifesto has always referenced controlling immigration.",3
"Immigration puts pressure on our schools, the NHS and housing, while also challenging our identity and values when it is not properly controlled and when new arrivals do not integrate within their new communities.",2
"The British people can see this and understand this, and they have demanded action for at least the past two decades The vote to leave the EU was, among other things, a vote to take back control of our borders and to control immigration.",4
"Of course, that is not to say that immigration does not bring benefits to the UK, but the over-supply of low-skilled labour has had severe consequences, suppressing wages and reducing the number of entry-level jobs available.",3
I am so pleased we have a Home Secretary who is willing to discuss these issues and face up to the problems that large-scale immigration is causing.,3
"Successive Governments have been far too reluctant to do so, perhaps through fear of facing the cancel culture of the woke brigade The element that is most emotive and that angers my constituents more than any other is illegal immigration—specifically, the thousands of small boats arriving on the south coast.",3
"It is high time this Bill was brought forward to tackle the scourge of illegal immigration, and I strongly welcome the measures outlined within it.",3
"Giving our Border Force additional powers to turn around boats crossing the channel, making it a criminal offence to knowingly arrive in the UK without permission and introducing life sentences for people smugglers will all reduce the number of migrants making the unnecessary and illegal crossing in small boats However, some will still make the perilous journey.",3
"The task of processing asylum claims must be made quicker and, for those who are rejected, we must be far more robust in deporting them from the UK.",3
"Over the past 15 years, around three quarters of applicants who were refused asylum have lodged an appeal.",3
"Their vexatious and often last-minute appeals—submitted and encouraged by left-wing human rights lawyers—are done at tremendous cost to the UK taxpayer, and it is encouraging that this Bill will overhaul the legal system for asylum claims, finally putting an end to this utter nonsense.",3
"If people have no right to be here, they should be swiftly deported—it is as simple as that Those on the Opposition Benches, including the Leader of the Opposition, have previously stood on election promises to reintroduce the free movement of people, showing just how out of touch they are with traditional Labour voters.",3
"On this side of the House, however, we are building a system that is fair for the British people and reforms our broken asylum system, and this Bill is one I wholeheartedly support.",3
"This is happening here in our land and across the English channel—death, violence, sex trafficking, exploitation, bribery, guns, drugs, modern slavery, and illegal migration.",2
Let us make no mistake: this is the reality of the small boats crisis.,2
Persons with criminal intent have been identified coming into Dover in boats picked up in the channel.,3
"Any local person knows about the very many boats that do make it onto the land, onto the beaches and onto our shores in the coastal villages of Kingsdown, St Margaret’s and Walmer and further afield.",3
"That is why, for our national security, we must have strong borders and bring an end to the small boats crossing route Today’s measures are not about a lack of compassion.",3
They are about recognising that there is no compassion in allowing this illegal activity to continue.,3
"Today’s Bill, alongside its sister immigration reform Bill, provides more powers to strengthen our borders and more options to work with other countries to make sure that people are encouraged to use legal and safe routes and discouraged from using these dangerous and illegal ones The bottom line is this: it is only when migrants and traffickers alike know that they cannot break into Britain in this way that the small boats crossing route will come to an end.",3
It is crucial that we restore trust in our immigration system.,2
"Our asylum system is in desperate need of reform and our constituents rightly expect it to be fixed In only the past year, 16,000 people have entered the country illegally, and those are just the ones we know about.",2
"That also creates a severe backlog, which delays the processing of genuine asylum cases and slows down our judicial processes Most worryingly, there are now 10,000 foreign national offenders in circulation outside prisons in the UK whom the Home Office are intent on deporting but cannot because of legal barriers.",3
I welcome the fact that the Government’s new plan for immigration will speed up the removal of these dangerous foreign criminals.,3
"Any foreign national who comes to this country and abuses our hospitality by breaking the law should be in no doubt of the UK Government’s determination to deport them When assessing the needs of individual asylum claimants, knowing the age of applicants is really important for ensuring that children get protected and properly looked after.",3
"As a doctor, I have participated in the past in the assessment of asylum-seeking children, and the current system in place is nowhere near accurate enough for making such crucial and important decisions.",3
"One of my constituents, who has served this country on military operations, was shocked to discover that he was unable to get British citizenship for his son, despite the fact that he is British and the son was born in Britain.",4
"This is because his European mother was still legally married to a foreign national at the time of their son’s birth, and under the current legislation a child’s father is legally deemed to be the husband at the time the woman gives birth.",4
"However, in this particular case my constituent is the father in all biological, emotional and practical terms New measures in the Bill will provide an entitlement to British citizenship for people who were previously unable to acquire it because their mother was married to someone other than their biological father at the time of birth.",3
"I am pleased to have the chance to speak in this debate, although I regret the fact that the time limit means my comments will be brief This important Bill aims to provide a fair and safe asylum system and give greater rights and protections to those who have legally sought asylum in the UK.",3
"It seeks properly to control our borders and thereby strengthen our national security, and it will clamp down on some of the most despicable criminals: the gangs who make money from people smuggling and modern slavery.",3
We all remember the tragic deaths of migrants who have paid smugglers to cram them into lorries without sufficient ventilation.,3
"We have seen people with no sailing experience who have paid to be piled into unseaworthy vessels—often nothing more than a dinghy—and then pushed offshore to make a dangerous and, tragically, often deadly sea crossing.",3
"Friend the Member for Maidenhead (Mrs May) said, many who seek to come to the UK by illegal routes are economic migrants.",3
"If I had more time, I would speak about the work that the UK is doing in trade and education, and the work that we should do to help developing countries to really develop, so that people all over the world can have prosperous, fulfilling lives for themselves and their families I was deeply disappointed by the shadow Home Secretary’s remarks about the Bill creating a more discriminatory asylum system, because by not supporting measures in the Bill he would allow the current system to continue.",3
"He must surely look at the current system and see the clear discrimination against older people, disabled people, women and children—against anyone unable or less able to make long, arduous, dangerous journeys As I have only a few more seconds, I conclude by saying that we should all want a fair and just asylum system, and such a system does not say that if people are young enough, fit enough or brave enough, they can get ahead and jump the queue.",3
A fair and just asylum system does not reward organised gangs of criminals for putting vulnerable people’s lives at risk.,2
A fair and just asylum system is not this perverse and deadly real-life “Hunger Games”.,2
I hope you are enjoying the view—congratulations I sometimes wonder whether the Home Secretary or her cheerleaders on the Government Benches have ever actually met an asylum seeker.,3
"If the asylum seekers who come to my surgeries in Glasgow North find it stressful, embarrassing or upsetting to have to carry a biometric ID card that states that they have no right to work when, being a human being, they are born with that right, or that they have no recourse to public funds, it is no less humiliating to have to explain from the other side of the surgery table why the Government are so unremittingly hostile to their presence in this country It is easy to stand at the Dispatch Box or on the Back Benches and say that these people should leave the UK; try looking them in the eyes—eyes that have seen horrors that some of us cannot even imagine—and saying that.",3
"I defy any Minister or any Tory Back Bencher to come to the next meeting of the Maryhill Integration Network Voices group, listen to the testimonies of the men and women who take part and then come back to this House and justify the policies that they are promoting today For 20 years the Maryhill Integration Network has supported asylum seekers and refugees in the north of Glasgow, welcoming them into the community, and helping to share experiences, culture, food and joy across the entire city.",3
"Rema was a refugee—she was a journalist in Kosovo—who fled to a refugee camp in Macedonia with her family, before being evacuated to Glasgow for health reasons.",3
"How many will be put up in barracks before being deported, and criminalised on the moment of arrival, because of course they had to struggle to get here—their oppressive regime did not give them a passport and a ticket to the airport Hostility is the hallmark of this Government: hostility to devolution, hostility to the aid budget, and now a supercharging of the hostile environment for refugees and asylum seekers.",3
"The visa system is in at least as much of a mess as the asylum system, and it amounts to one message: global Britain is closed.",2
"In time, Scotland will have its own immigration system, and just as Scots have been welcomed and made their homes in countries around the world, we will welcome travellers, migrants, refugees and asylum seekers, respecting their human rights and our humanitarian responsibilities.",4
"I say this to refugee and asylum-seeking constituents in Glasgow North: no matter what you hear from the Tory Dispatch Box today, you are welcome in Glasgow, you are welcome in Scotland, we want you to be safe, and we want you to stay.",3
I was elected in 2019 on a manifesto that promised to reform our immigration system.,3
"For too long, excessive and uncontrolled immigration, and abuses of our asylum system, have allowed people to get around the rules without much prospect of ever being removed once they are here.",2
"It provides the powers we need to remove people who should not be here, and to discourage anyone who would try to cross into the country illegally.",2
"The message is simple: if you come here illegally by irregular means, you will not be staying The Bill has three main objectives: first, to increase the fairness of the system better to protect and support those in need of asylum; secondly, to deter illegal entry into the United Kingdom, thereby breaking people smuggling networks and protecting the lives of those they endanger; and thirdly, to remove more easily those with no right to be in the UK.",3
"They are also what the public want us to do Whenever I am out and about in Hyndburn and Haslingden, I hear concerns from residents about controlling our borders and cracking down on illegal immigration.",3
"There is a proper asylum route into this country, and it is important that people realise they will be punished if they do not follow it.",2
"The Bill will not only deter those people who get in boats to make illegal crossings, but it will smash the networks that bring them here.",3
"We need an asylum system that is compassionate towards people who apply to come here, processes claims efficiently and effectively, and quickly removes anyone who is not successful in their application.",2
"The Bill delivers on all that The Bill will broaden criminal sanctions for offences related to illegal entry or bringing people here illegally, and it will increase the maximum penalties for both.",3
It will also give border and immigration staff additional powers to stop and redirect vessels out of UK territorial waters.,3
"The Bill is an important step in creating a new immigration system, based on merit, which controls who, when, and how people can come here, and cuts immigration overall.",3
"It gives my constituents confidence that the Government have heard their concerns on immigration, and are working to tackle them.",3
"I will feed that back to them when I get back to Ashfield this weekend We have always been a welcoming and tolerant country that has reached out to genuine refugees from all over the world, but just like Janis’s family in Ashfield, most people in the UK do not accept that people travelling here from France in dinghies are genuine asylum seekers—[Interruption.]",4
They are not genuine asylum seekers.,2
We know that many of them have been trafficked with a clear instruction on how to claim asylum once they get here.,3
"That is because our asylum system is not fit for purpose, and this Bill stops that The Labour party and the Opposition want to bring back free movement.",3
"They dislike our points-based immigration system, and now they are going to vote against a Bill that protects our borders and helps us deport foreign murderers and rapists.",3
"This new Bill will ensure that people in genuine need, like Janis all those years ago, get the help they need, and the greedy lawyers and the human traffickers will be told, “No more.” We owe it to people such as Janis who are suffering today to ensure that we have a fairer system that offers genuine refugees a safe haven.",3
"We are getting tough on crime, we are getting tough on immigration and we are getting tough on law and order.",3
"Friend the Home Secretary, an adopted Stokie, is right to say that our asylum system is broken.",3
"People in Stoke-on-Trent North, Kidsgrove and Talke will see images of people crossing the channel illegally in small boats and are rightly infuriated, because they know the impact that illegal immigration has.",3
"In Stoke-on-Trent, we have done more than almost any other area in giving asylum seekers a home.",3
"At the end of 2020, we had the fifth highest rate of asylum seekers per 10,000 of population in the whole UK, housing more than 1,000 asylum seekers.",3
"That means that one in every 250 people living in Stoke is now an asylum seeker, and with the certainty of even more illegal entries into the UK on boats, in lorries or through those arriving without visas, places such as Stoke-on-Trent will be pushed to their limit.",3
"Services such as our local NHS and schools are under strain and being stretched even further, and I fully support the decision by Stoke-on-Trent City Council’s leader, Councillor Abi Brown, to pause our involvement with the asylum dispersal scheme.",3
"It is a safe country, but these asylum seekers are travelling from war-torn countries where their lives are in danger “We cannot close the door and instead we need to call out this policy for what it is—xenophobic populism which exploits people’s fears of the outsider.” Those are not my words, but the words of Susan Brown, a leading member of the Church of Scotland and honorary chaplain to the Queen in Scotland, after seeing the consultation paper on the Bill.",3
"Susan clearly does not believe in myths, such as that immigrants are a drain on the NHS and the benefits system or that they bring increases in violent crime with them.",3
"For her, this is about being the kind of people we would want to be, treating others as we would hope they would treat us and our families were the roles reversed Some may argue that strict immigration policies are necessary to protect our borders and our country from the effects of immigration.",3
"Immigration is a necessary part of the British way of life On healthcare, the demand among migrants to the UK is lower than among the UK-born population, except among in-patients for childbirth.",3
"In Scotland, migrants from outside the UK are in general young and have low healthcare needs.",2
"On benefits, foreign-born people are less likely to receive key Department for Work and Pensions out-of-work benefits than UK-born people.",3
"On crime, in Scotland, statistics for individual crime participation tend to show that migrants are less likely to commit crime than observably similar people who were born in the United Kingdom I return to Susan Brown of the Church of Scotland, who said: “What we need is political leadership which acknowledges and allays people’s concerns and promotes the importance of human life and dignity…This means giving asylum seekers the right to work…Establishing safe passage routes or humanitarian corridors to the UK for those that need sanctuary…and…support for individuals to alleviate destitution and poverty.” In conclusion, I urge the Government to seriously reconsider many aspects of the Bill and to adopt a more appropriate economic and humanitarian approach to nationality and immigration.",3
I welcome you to your elevated position Many of my constituents in Stoke-on-Trent South are shocked and angered by the illegal crossings of the English channel.,3
"The integrity of our borders is broken, and my constituents are fed up of seeing people continue to enter the UK illegally.",2
"We must act to put an end to the profiteering of criminal people traffickers, for whom illegal routes have become an industry, and we must deter those who seek to make these perilous journeys across the busiest shipping lane in the world in no more than a rubber dinghy Clearly, there must be safe routes for those in desperate need.",3
"The UK and Stoke-on-Trent have a proud record of helping those in the greatest need, but what my constituents cannot understand is why there should be any need to make illegal journeys to do so: European countries are safe, and those attempting to claim asylum should do so in those countries We have seen repeated attempts to game the system, using any legal loophole to do so.",3
"There were 16,000 illegal immigrants last year yet, because the system is overwhelmed and repeatedly abused, deportations are declining.",2
The increased pressures we have seen on the entire immigration system put enormous weight on the few asylum dispersal areas.,3
Stoke-on-Trent has seen one of the highest proportions of refugees in the entire country.,3
"Labour’s overhaul of Britain’s immigration policies took average net entry into the country from between 10,000 and 20,000 a year, to between 200,000 and 300,000 a year.",3
"From then on, the mere claim of asylum was sufficient to be allowed to stay in the country That was when Labour and the media created a toxic atmosphere in which merely mentioning “immigration” branded a person racist, so any expression of fact about immigration was made impossible.",3
"From ’97, Labour legally wove into the very fabric of society something akin to a culture war against the British people and their mainstream values—the same people who value fairness, generosity and compassion for true asylum seekers, and who want a fair immigration system.",3
"And yes, equally, true asylum seekers have been failed Labour’s legacy is clear, if just from the numbers.",3
"My voters in Dudley have made that very clear to me People smugglers have benefited from the UK magnet, and the system has helped migrants become prey to them, putting their lives in danger.",3
Extensive work is taking place in this area I was about to speak about our proposals to address the illegal side of migration.,3
"Illegal migration causes real harm and endangers the lives of those undertaking many dangerous and perilous journeys, more often than not in the hands of smugglers and people traffickers.",2
The number of people crossing the English channel in small boats reached record levels last summer.,3
People smugglers trade in human misery.,2
"Not only do these gangs exploit and hurt desperate people, but they are responsible for other illicit activities ranging from drugs and firearms trafficking to serious violent crime.",2
They must be brought to task The House will recall that earlier this year I launched our new plan for immigration.,3
It is underpinned by the principle that access to the UK’s asylum system should be based on need and not on the ability to pay people smugglers.,3
It will better protect those in need of genuine asylum.,3
"It will deter illegal entry into the UK, break the business model of criminal traffickers and their networks, and save lives.",3
"It will also make it easier to remove people with no right to be in the country, including dangerous foreign criminals Those who come to the UK legally to work hard and contribute to our national life will always be welcome, but those who abuse that welcome by committing crimes will be deported.",3
"So far this year, more than 650 foreign national offenders have been removed from the UK; that means fewer foreign murderers, rapists and drug dealers on our streets.",3
That very much speaks to the fact that the current system is not fit for purpose and justice is being delayed for those with genuine and important asylum claims.,3
Judicial and court resources are overstretched and our new plan for immigration will address that The Bill will ensure that the system does not reward those who enter the UK illegally and through those appalling illicit means.,3
"Those who have travelled through a safe country where they could reasonably have claimed asylum, such as France or Belgium, are now inadmissible in the UK asylum system.",4
"For the first time, whether people enter the UK legally or illegally will have an impact on how their asylum claim is progressed, and on their status in the UK if their claim is successful.",3
"We will create a new and expanded one-stop-shop process so that asylum, human rights and any other protection claims are made and considered up front at the beginning of the process, ending the cycle of limitless appeals in our courts As I have made clear, the Government will do whatever it takes to protect the public, and that also applies to our national security.",3
Legislation will also include the creation of a foreign influence registration scheme.,3
"They want us to take back our country’s borders, and we are delivering on that.",3
"That means supporting our police and others whose job it is to keep us safe, defeating the criminals and criminal gangs, securing our borders and removing those with no right to be here, protecting our national security, and taking the strongest possible action against those who wish to harm us.",3
"We will look at this long-delayed legislation closely, and seek to work constructively to bring about the changes needed to guard against not just the threats of today, but the fast-emerging global threats to our democracy As we look at the UK’s role in the world, I want to turn to the new plan for immigration.",3
"I do not disagree that the asylum system is too slow: the reason for that is the Conservative party, which has run the immigration system for the past 11 years.",2
The share of asylum applications that received an initial decision within six months fell from 87% in 2014 to 20% in 2019.,3
"There has been a huge surge in the number of dangerous crossings in small boats from France, but where is the comprehensive deal with France to deal with it?",3
"That is not the way to tackle the issue or the heinous crime of people trafficking At the same time, we have seen people housed in overcrowded accommodation that represented a fundamental failure of leadership and planning at the Home Office, leading to a dangerous covid outbreak and putting vulnerable people, staff and neighbouring communities at risk From what we have seen of the plans so far, they will do next to nothing to stop people making crossings.",3
"They risk withdrawing support from vulnerable people, including victims of human trafficking.",3
"Yet again, Conservative failure will be hard-wired into the system On the issue of borders, the lax measures against covid have been frankly negligent.",3
"The Government were late to introduce formal quarantining, they failed to have an effective home quarantining system, and they were late to introduce border testing and hotel quarantining —and even then, only 1% of arrivals actually stayed in hotels Like everyone across the House, I am deeply worried by the sharp increase in the covid variant cases in Bolton, Blackburn, Darwen and other parts of the country.",3
We have been warning the Government for months of the reckless risks they have been taking with their half-baked border measures.,3
"The Home Secretary shakes her head, but she has been on video making clear her disagreement with the Government’s approach to the borders.",3
"The Prime Minister has serious questions to answer about the suggestions that he delayed adding India to the red list because of the planned visit Ministers must learn the lessons, act more cautiously now on the reopening of international travel, and make their border protections effective.",3
"At the same time, violence has been on the rise, affecting all our communities; neighbourhood policing has been cut to the bone; our democracy has been left vulnerable to hostile state action; and we have an immigration system devoid of compassion and competence What we needed was a bold vision for security in our country and safety on our streets.",3
"It includes rolling back the power of our courts to halt unlawful Government action, a clampdown on protest, ripping up the refugee convention and measures tantamount to voter suppression Yet when it comes to the big problems that we need to address to keep people safe, key questions are completely ducked.",3
"If the Home Office has listened and learned from those events, it will undertake no immigration enforcement activity in Glasgow without the express and advance knowledge of Police Scotland.",3
"I refer to the refugee convention, which is approaching its 70th birthday, and the Misuse of Drugs Act, which is approach its 50th.",3
"First, on the Bill that will trash the refugee convention—what a contrast with the cross-party legislation that saw refugees voting in the Scottish Parliament election a little over a week ago—the Home Secretary seems determined to ride a coach and horses through long-established principles of international refugee law that have stood the test of time.",3
"She wants to raise the standard of proof required of asylum seekers above that set out in the convention, despite the incredible challenges of evidencing persecution in the country the asylum seeker has had to flee Instead of being granted refugee status, those accepted as being at risk of persecution will face a life in limbo for up to 10 years, with family reunion rights restricted, and will be left to languish without recourse to public funds.",3
"She put people at risk and hundreds fell ill, but far from being apologetic, she appears to be doubling down The Home Secretary talks about clamping down on people smugglers, but the proposals have nothing to do with people smugglers.",3
"This is clamping down on refugees themselves and punishing victims of persecution because of how they arrived in the UK, making an example of them, making them miserable and ruining their life chances in an attempt to discourage others from following.",3
"If every Government took the same pass-the-buck approach as this one, the international system of refugee protection would break down entirely.",3
"If not, please stop talking about Britain’s proud history of welcoming refugees, because she will have trashed that history, along with the refugee convention.",3
Nor is it policy that reflects the values or interests of this country; it is head-in-the-sand policy that helps only the drugs pushers and people smugglers.,3
I want to focus on one aspect of the Home Office measures: the much needed overhaul of the immigration and asylum system.,3
I very much welcome the Home Secretary’s recent new plan for immigration.,3
"I have spoken about this before, because all we need, above all, is an immigration system that is fair, fast, flexible, family friendly and beneficial to the UK and to the many people escaping danger and persecution overseas.",2
"We have a proud record of helping and encouraging those who want to make a big contribution to the UK, but too often our immigration system is bureaucratic and complicated, as the Windrush situation showed.",3
I welcome the Home Secretary’s comment that if someone comes by an illegal route they are not treated on a par with someone who has applied legitimately and through legal means such as refugee agencies and refugee camps.,3
"In return, we need an immigration system that is streamlined, affordable —not a revenue generator for the Home Office—and works quickly to get people to a place of safety sustainably and deals with those who do not have a future in the UK.",3
"I think this is a trade-off that gains the support of the public I specifically ask the Home Secretary to look at the plight of a group of young migrants who have come to Britain, represented by the excellent We Belong organisation, who find themselves in limbo: no fewer than 332,000 children and young people growing up legally in the UK without any formal immigration status who migrated here as children predominantly from Commonwealth countries and know only the UK as their home.",3
"They came here with their families and their immigration status has not been settled, which becomes a problem when they reach adulthood and want to go to university or get a job.",2
I hope that in the immigration legislation coming forward we can give them the settlement and surety that they deserve.,3
"More needs to be done to tackle the people trafficking gangs that exploit migrants across Europe, promising to get them to this country.",3
"Does the Prime Minister agree that it is totally unacceptable that companies such as Facebook allow those smugglers to offer their services on their platforms—not only routes into the country, but the sale of forged British papers in order to aid their access?",3
Does he agree that when this House passes the Online Safety Bill we will have the power to do more to make companies such as Facebook take down content that promotes illegal activity?,3
"If they accepted a passport or an ID card from an EEA national for right to work or right to rent checks in England, they do not need, as of today, to start going back through the process to see who has EUSS status and who does not None the less, we have been looking at our systems and seeing how people use them.",4
"For example, the view and prove service allows users to view their immigration status online.",3
"Between the fourth quarter of 2019 and the first quarter of 2021, the service had seen more than 3.9 million views by individuals and more than 330,000 views by organisations checking immigration status.",3
"Many of those with status under the British National (Overseas) visa, which we created as a settlement route for those in Hong Kong, also rely on purely digital status.",3
"In virtually all cases, it is because the applicant either has pending prosecutions, which means that a decision cannot be made until that criminal justice matter is resolved, or has been referred for consideration of deportation action in relation to criminal justice matters and criminal records When it comes to communicating, we have so far invested nearly £8 million in public communications about the EUSS to encourage EU citizens who are eligible for the scheme, and their family members, to apply.",3
"That includes victims of human trafficking or domestic abuse, those with severe mental health conditions, those without a permanent address and those who are elderly or isolated.",3
It would seem a bit weird to put that in the immigration status.,3
"We recognise that not every area or community has a postal collection beyond 9 am, and it would produce some quite harsh outcomes if we required people to take a selfie of themselves posting something at 5 o’clock in the evening Touching on the point around pregnancy, we have already changed nationality law to provide for a grant of British citizenship when a child is born to someone who subsequently secures settled status based on a late application.",3
"It is important that anyone who has not applied to the scheme does so, to ensure that their payments do not stop, but we would reassure them that help in applying remains available, including through our grant funded network Finally, in this area, if somebody who may be eligible for the scheme but has not made an application is encountered by immigration enforcement, they will be given another opportunity to apply.",3
"While a debate on the EUSS, and this time for Members to reflect on the millions of applications it has received and statuses granted, is very welcome, the final line of the motion points to the ultimate goal of those who sit on the separatist Benches: a border for people between England and Scotland We always see that presented as just a chance to give Scotland’s employers an opportunity to recruit at the minimum wage on a European or perhaps even global basis, rather than offering the rewarding packages that many of Scotland’s key workers deserve—or perhaps as a way to avoid dealing with the underlying issues that drive people to abandon the world-famous natural beauty of the Scottish highlands and islands to find opportunities for work elsewhere.",3
"Should immigration policy really be the go-to option for roles where the work-based training requirements can be completed in a shorter time Similarly, it is a depressing vision for the future of Scotland—or some of its most beautiful parts—to suggest creating a system that makes the main attraction or selling point of a future Scotland not better prospects, higher skills and being at the cutting edge of scientific research, but the fact that it is a place where someone will need to spend a few years before qualifying for indefinite leave to remain, which will then allow them to move elsewhere As we know, for every problem, the SNP believes a border with England is the answer.",3
"Our approach is clear: to create a migration system that is not focused on the politics of division and separatism, or where someone’s passport is from, but judges people by their skills and what they have to offer, and has at its core a vision of a higher-wage, higher-skill, higher-prosperity Scotland, delivered by being part of our United Kingdom—a Union greater than the sum of its parts That means that our focus is to deliver an immigration system that works for Scotland’s workers, universities, businesses, events and future economic growth.",3
"It can never be a magic bullet for issues and problems that are the responsibility of Nicola Sturgeon and the Scottish Government, much as we wish it could be, but Scotland’s interests have been at the heart of each stage of recent changes Those changes include setting the general salary threshold for our key economic migration route within £20 of the Scottish median salary; harmonising the rules for settlement with the requirements for the skilled worker visa to encourage those who have come to work here to stay here for good; reform of the permit-free festival system to move towards a more proportionate approach; allowing short-term study via the visitor route; simplifying processes and expanding opportunity; changes to the student route in support of the ambitions of Scotland’s universities; removing the need to apply for ATAS—academic technology approval scheme—permission for our closest allies when studying relevant courses; broadening the skills threshold to reflect not just academically focused careers; allowing permitted paid engagement leave via entry through Ireland, removing the need for a Dublin band to fly via Paris to do a gig in Glasgow; and, over the coming year, introducing biometric reuse on more routes to reduce the need to travel to a service centre when applying for further leave to remain All those things have been driven by direct engagement with Scotland and its businesses, universities and community groups.",3
"They make Britain great, and we will never apologise for standing up for the rights of those who choose to call this country their home The immigration system that this Government have created over the past 11 years is broken, and surely the Minister could see, when he reeled off the list of things that the Home Office has been doing with regard to immigration, that the fact that the SNP has tabled a motion to devolve immigration and create that border is the result of some of the things that the Home Office has done over the past 11 years.",3
